Date,Open,High,Low,Close,Adj Close,Volume,Company Name
1996-01-01,65.78125,66.125,65.46875,65.625,26.54876708984375,7040,IDBI Bank Limited
1996-01-02,65.625,65.9375,64.40625,64.71875,26.18213081359864,40960,IDBI Bank Limited
1996-01-03,64.71875,65.625,64.75,64.84375,26.232709884643555,15680,IDBI Bank Limited
1996-01-04,64.84375,64.53125,63.53125,63.71875,25.77758407592773,13440,IDBI Bank Limited
1996-01-05,63.71875,64.3125,63.625,63.875,25.84079360961914,8480,IDBI Bank Limited
1996-01-08,63.875,63.40625,62.40625,62.9375,25.46152305603028,49920,IDBI Bank Limited
1996-01-09,62.9375,62.96875,62.03125,62.78125,25.3983211517334,28640,IDBI Bank Limited
1996-01-10,62.78125,62.46875,61.90625,62.09375,25.120189666748047,12320,IDBI Bank Limited
1996-01-11,62.09375,62.125,61.6875,62.125,25.132831573486328,9920,IDBI Bank Limited
1996-01-12,62.125,62.5,61.9375,62.46875,25.27189445495605,7520,IDBI Bank Limited
1996-01-15,62.46875,62.5,62.25,62.5,25.2845401763916,8320,IDBI Bank Limited
1996-01-16,62.5,62.1875,60.65625,60.78125,24.589210510253903,40640,IDBI Bank Limited
1996-01-17,60.78125,61.53125,60.0,60.15625,24.336366653442383,17120,IDBI Bank Limited
1996-01-18,60.15625,59.375,58.75,59.21875,23.95709609985352,26400,IDBI Bank Limited
1996-01-19,59.21875,58.59375,57.59375,57.71875,23.35026741027832,22240,IDBI Bank Limited
1996-01-22,57.71875,57.8125,56.28125,56.71875,22.945714950561523,26880,IDBI Bank Limited
1996-01-23,56.71875,57.5,56.28125,56.90625,23.021562576293945,51840,IDBI Bank Limited
1996-01-24,56.90625,56.71875,55.78125,56.40625,22.81929397583008,24640,IDBI Bank Limited
1996-01-25,56.40625,57.03125,56.25,56.5,22.85721778869629,11680,IDBI Bank Limited
1996-01-26,56.5,56.5,56.5,56.5,22.85721778869629,0,IDBI Bank Limited
1996-01-29,56.5,56.84375,56.15625,56.4375,22.83193588256836,14080,IDBI Bank Limited
