Date,Open,High,Low,Close,Adj Close,Volume,Company Name
2004-09-23,87.0,89.9000015258789,85.0,86.0999984741211,81.98587799072266,5903,Jindal Drilling And Industries Limited
2004-09-24,86.0,87.5,83.75,85.75,81.6526107788086,9763,Jindal Drilling And Industries Limited
2004-09-27,87.94999694824219,88.0,86.55000305175781,87.75,83.55704498291016,9064,Jindal Drilling And Industries Limited
2004-09-28,88.0,90.0,86.30000305175781,87.5,83.3189926147461,5890,Jindal Drilling And Industries Limited
2004-09-29,87.1500015258789,96.25,87.1500015258789,95.9499969482422,91.3652114868164,37856,Jindal Drilling And Industries Limited
2004-09-30,99.4000015258789,105.5500030517578,97.0999984741211,105.5500030517578,100.50652313232422,73313,Jindal Drilling And Industries Limited
2004-10-01,108.0,113.6500015258789,100.5,103.9499969482422,98.98296356201172,125087,Jindal Drilling And Industries Limited
2004-10-04,108.0,109.0,101.0,102.0999984741211,97.22137451171876,35816,Jindal Drilling And Industries Limited
2004-10-05,103.0,105.9000015258789,98.0,100.6500015258789,95.84065246582033,30068,Jindal Drilling And Industries Limited
2004-10-06,105.0,106.0,100.0999984741211,100.4499969482422,95.65021514892578,80067,Jindal Drilling And Industries Limited
2004-10-07,104.0,104.1999969482422,100.0,101.0,96.17391967773438,14260,Jindal Drilling And Industries Limited
2004-10-08,103.0,103.5,101.0500030517578,101.9499969482422,97.07852172851562,14979,Jindal Drilling And Industries Limited
2004-10-11,102.0999984741211,106.0999984741211,99.0999984741211,99.8000030517578,95.03126525878906,65739,Jindal Drilling And Industries Limited
2004-10-12,103.0,103.0,96.0,97.3000030517578,92.65071105957033,11071,Jindal Drilling And Industries Limited
2004-10-13,97.3000030517578,97.3000030517578,97.3000030517578,97.3000030517578,92.65071105957033,0,Jindal Drilling And Industries Limited
2004-10-14,104.0,104.0,94.6999969482422,96.5500030517578,91.93655395507812,7454,Jindal Drilling And Industries Limited
2004-10-15,98.0,98.0,93.0999984741211,94.8499984741211,90.31777954101562,4691,Jindal Drilling And Industries Limited
2004-10-18,91.5,97.5,91.5,92.8499984741211,88.4133529663086,1631,Jindal Drilling And Industries Limited
2004-10-19,92.5,93.5,91.0,92.0500030517578,87.65158081054688,5214,Jindal Drilling And Industries Limited
2004-10-20,92.3000030517578,94.0,92.0999984741211,92.6999969482422,88.27051544189453,6439,Jindal Drilling And Industries Limited
2004-10-21,91.6999969482422,93.8000030517578,90.0,90.8499984741211,86.50891876220703,6291,Jindal Drilling And Industries Limited
2004-10-22,90.8499984741211,90.8499984741211,90.8499984741211,90.8499984741211,86.50891876220703,0,Jindal Drilling And Industries Limited
2004-10-25,91.0500030517578,91.5500030517578,88.05000305175781,88.1500015258789,83.93792724609375,6470,Jindal Drilling And Industries Limited
