Date,Open,High,Low,Close,Adj Close,Volume,Company Name
2016-01-06,291.0,345.6499938964844,291.0,336.95001220703125,331.1778259277344,41383689,Narayana Hrudayalaya Ltd.
2016-01-07,337.0,360.0,325.29998779296875,330.70001220703125,325.0349426269531,11693085,Narayana Hrudayalaya Ltd.
2016-01-08,332.5,340.5,324.1000061035156,327.3999938964844,321.7914123535156,3781532,Narayana Hrudayalaya Ltd.
2016-01-11,322.8999938964844,332.8999938964844,306.04998779296875,327.5,321.8897705078125,3393607,Narayana Hrudayalaya Ltd.
2016-01-12,331.0,336.0,324.1000061035156,331.79998779296875,326.1160583496094,1686299,Narayana Hrudayalaya Ltd.
2016-01-13,331.8500061035156,334.29998779296875,317.3999938964844,324.95001220703125,319.3833923339844,1181491,Narayana Hrudayalaya Ltd.
2016-01-14,317.0,325.0,310.5,320.1000061035156,314.61651611328125,608372,Narayana Hrudayalaya Ltd.
2016-01-15,321.8500061035156,324.54998779296875,301.0,306.6000061035156,301.3477478027344,530956,Narayana Hrudayalaya Ltd.
2016-01-18,308.0,308.0,294.0,299.29998779296875,294.1727905273437,812523,Narayana Hrudayalaya Ltd.
2016-01-19,302.6499938964844,307.8999938964844,295.3500061035156,304.6000061035156,299.3819885253906,530489,Narayana Hrudayalaya Ltd.
2016-01-20,300.0,308.95001220703125,295.0,301.20001220703125,296.0403137207031,376656,Narayana Hrudayalaya Ltd.
2016-01-21,302.75,313.70001220703125,302.75,311.79998779296875,306.45867919921875,328864,Narayana Hrudayalaya Ltd.
2016-01-22,314.95001220703125,321.5,314.0,316.95001220703125,311.5204772949219,246903,Narayana Hrudayalaya Ltd.
2016-01-25,317.0,339.0,310.3999938964844,330.20001220703125,324.54351806640625,427034,Narayana Hrudayalaya Ltd.
2016-01-27,326.0,339.0,325.1000061035156,333.95001220703125,328.229248046875,376817,Narayana Hrudayalaya Ltd.
2016-01-28,331.79998779296875,336.6499938964844,327.70001220703125,330.6000061035156,324.9366455078125,146200,Narayana Hrudayalaya Ltd.
2016-01-29,328.54998779296875,338.0,328.54998779296875,333.6499938964844,327.93438720703125,218252,Narayana Hrudayalaya Ltd.
2016-02-01,334.0,336.5,328.20001220703125,330.70001220703125,325.0349426269531,405909,Narayana Hrudayalaya Ltd.
2016-02-02,329.95001220703125,335.0,328.6000061035156,331.75,326.0669250488281,700751,Narayana Hrudayalaya Ltd.
2016-02-03,330.0,330.1000061035156,319.0,320.70001220703125,315.20623779296875,205863,Narayana Hrudayalaya Ltd.
2016-02-04,321.70001220703125,324.95001220703125,318.0,321.8999938964844,316.3856811523437,349485,Narayana Hrudayalaya Ltd.
2016-02-05,322.0,324.5,318.0,320.75,315.25537109375,63123,Narayana Hrudayalaya Ltd.
2016-02-08,324.0,352.0,321.95001220703125,328.3999938964844,322.7742919921875,1156009,Narayana Hrudayalaya Ltd.
2016-02-09,332.54998779296875,338.79998779296875,326.0,333.25,327.5412292480469,715021,Narayana Hrudayalaya Ltd.
2016-02-10,327.0,334.0,320.0,321.1000061035156,315.5993957519531,415901,Narayana Hrudayalaya Ltd.
2016-02-11,322.0,322.0,282.3999938964844,294.5,289.4550170898437,700722,Narayana Hrudayalaya Ltd.
2016-02-12,295.0,299.79998779296875,283.6499938964844,286.5,281.5921325683594,396915,Narayana Hrudayalaya Ltd.
2016-02-15,291.70001220703125,298.5,290.20001220703125,294.75,289.70074462890625,290784,Narayana Hrudayalaya Ltd.
2016-02-16,299.0,299.8500061035156,288.04998779296875,290.5,285.5235900878906,119220,Narayana Hrudayalaya Ltd.
2016-02-17,294.70001220703125,294.70001220703125,286.6000061035156,290.1000061035156,285.1304626464844,127189,Narayana Hrudayalaya Ltd.
2016-02-18,294.8999938964844,298.0,289.95001220703125,290.45001220703125,285.4744567871094,52218,Narayana Hrudayalaya Ltd.
2016-02-19,292.6000061035156,293.0,289.95001220703125,290.20001220703125,285.22869873046875,36470,Narayana Hrudayalaya Ltd.
2016-02-22,294.0,294.0,287.0,289.75,284.786376953125,334572,Narayana Hrudayalaya Ltd.
2016-02-23,289.5,292.29998779296875,286.1000061035156,288.29998779296875,283.3612670898437,63567,Narayana Hrudayalaya Ltd.
2016-02-24,286.20001220703125,287.29998779296875,284.5,285.25,280.36346435546875,105402,Narayana Hrudayalaya Ltd.
2016-02-25,288.95001220703125,289.25,283.5,288.1000061035156,283.16473388671875,36604,Narayana Hrudayalaya Ltd.
2016-02-26,287.04998779296875,288.8500061035156,274.6499938964844,284.45001220703125,279.5772399902344,1067007,Narayana Hrudayalaya Ltd.
2016-02-29,284.0,285.8500061035156,277.0,279.8999938964844,275.10516357421875,50969,Narayana Hrudayalaya Ltd.
2016-03-01,277.04998779296875,302.0,274.6499938964844,295.3999938964844,290.339599609375,114425,Narayana Hrudayalaya Ltd.
2016-03-02,298.0,309.95001220703125,296.45001220703125,298.75,293.6322326660156,128958,Narayana Hrudayalaya Ltd.
2016-03-03,299.6499938964844,306.45001220703125,295.0,299.75,294.6150817871094,104961,Narayana Hrudayalaya Ltd.
2016-03-04,299.95001220703125,305.0,295.0,296.8500061035156,291.76483154296875,64527,Narayana Hrudayalaya Ltd.
2016-03-08,299.0,301.95001220703125,298.0,298.8500061035156,293.73052978515625,42958,Narayana Hrudayalaya Ltd.
2016-03-09,299.95001220703125,306.0,294.0,297.1000061035156,292.010498046875,56295,Narayana Hrudayalaya Ltd.
2016-03-10,297.25,299.3999938964844,292.0,293.6000061035156,288.5704650878906,55978,Narayana Hrudayalaya Ltd.
2016-03-11,295.0,295.8999938964844,286.0,288.95001220703125,284.0000915527344,530108,Narayana Hrudayalaya Ltd.
2016-03-14,289.25,295.0,289.25,293.8500061035156,288.8161926269531,34325,Narayana Hrudayalaya Ltd.
2016-03-15,294.5,295.79998779296875,290.79998779296875,293.75,288.7178649902344,25950,Narayana Hrudayalaya Ltd.
2016-03-16,298.0,299.6000061035156,291.04998779296875,295.45001220703125,290.3887939453125,45187,Narayana Hrudayalaya Ltd.
2016-03-17,294.0,303.3999938964844,292.0,295.8500061035156,290.78192138671875,68949,Narayana Hrudayalaya Ltd.
2016-03-18,292.25,298.70001220703125,292.25,293.6499938964844,288.61962890625,24859,Narayana Hrudayalaya Ltd.
2016-03-21,294.54998779296875,300.8500061035156,292.70001220703125,297.70001220703125,292.6002197265625,38722,Narayana Hrudayalaya Ltd.
2016-03-22,298.95001220703125,299.0,292.20001220703125,294.20001220703125,289.16021728515625,16841,Narayana Hrudayalaya Ltd.
2016-03-23,294.0,295.75,291.1000061035156,292.95001220703125,287.9315795898437,24221,Narayana Hrudayalaya Ltd.
2016-03-28,297.0,297.0,283.5,285.0,280.11773681640625,19278,Narayana Hrudayalaya Ltd.
2016-03-29,285.04998779296875,290.5,268.79998779296875,284.0,279.1348876953125,89423,Narayana Hrudayalaya Ltd.
2016-03-30,284.8999938964844,290.0,284.8999938964844,287.04998779296875,282.1326904296875,31030,Narayana Hrudayalaya Ltd.
2016-03-31,287.1000061035156,288.0,282.8999938964844,286.29998779296875,281.3955078125,32904,Narayana Hrudayalaya Ltd.
2016-04-01,286.3500061035156,296.0,285.0,290.1000061035156,285.1304626464844,39530,Narayana Hrudayalaya Ltd.
2016-04-04,294.0,294.0,286.0,289.6499938964844,284.6881103515625,26662,Narayana Hrudayalaya Ltd.
2016-04-05,288.1499938964844,300.1499938964844,288.0,296.20001220703125,291.1259460449219,187188,Narayana Hrudayalaya Ltd.
2016-04-06,296.3999938964844,304.0,292.95001220703125,301.6000061035156,296.4334411621094,86156,Narayana Hrudayalaya Ltd.
2016-04-07,293.0,302.6499938964844,293.0,299.45001220703125,294.3202514648437,29351,Narayana Hrudayalaya Ltd.
2016-04-08,294.54998779296875,304.0,294.0,295.75,290.6836242675781,25793,Narayana Hrudayalaya Ltd.
2016-04-11,299.75,302.04998779296875,296.25,299.8500061035156,294.71337890625,24156,Narayana Hrudayalaya Ltd.
2016-04-12,299.79998779296875,303.0,298.0,299.54998779296875,294.4184875488281,17870,Narayana Hrudayalaya Ltd.
2016-04-13,300.0,301.95001220703125,294.0,295.5,290.4379272460937,28858,Narayana Hrudayalaya Ltd.
2016-04-18,300.0,300.0,294.5,296.1499938964844,291.0767517089844,19989,Narayana Hrudayalaya Ltd.
2016-04-20,293.1000061035156,299.1499938964844,293.1000061035156,296.04998779296875,290.978515625,61063,Narayana Hrudayalaya Ltd.
2016-04-21,300.0,304.0,296.0,302.3500061035156,297.17059326171875,750118,Narayana Hrudayalaya Ltd.
2016-04-22,300.95001220703125,303.0,297.6499938964844,300.1000061035156,294.9590759277344,27241,Narayana Hrudayalaya Ltd.
2016-04-25,303.3500061035156,307.95001220703125,295.0,299.29998779296875,294.1727905273437,35626,Narayana Hrudayalaya Ltd.
2016-04-26,296.0,301.0,296.0,300.0,294.86083984375,16944,Narayana Hrudayalaya Ltd.
2016-04-27,298.5,301.8999938964844,298.3999938964844,300.1000061035156,294.9590759277344,13939,Narayana Hrudayalaya Ltd.
