Date,Open,High,Low,Close,Adj Close,Volume,Company Name
2022-05-20,650.0,650.0,541.0,561.75,561.75,3203719,Prudent Corporate Advisory Services Limited
2022-05-23,549.9000244140625,575.0,514.7000122070312,521.6500244140625,521.6500244140625,353766,Prudent Corporate Advisory Services Limited
2022-05-24,510.1499938964844,517.0,495.5499877929688,502.9500122070313,502.9500122070313,281534,Prudent Corporate Advisory Services Limited
2022-05-25,501.2999877929688,514.9500122070312,481.5,494.0,494.0,177931,Prudent Corporate Advisory Services Limited
2022-05-26,499.8999938964844,503.0,470.3500061035156,475.5,475.5,113670,Prudent Corporate Advisory Services Limited
2022-05-27,482.0499877929688,521.7000122070312,476.25,512.0999755859375,512.0999755859375,274040,Prudent Corporate Advisory Services Limited
2022-05-30,512.0,612.0,500.0,601.1500244140625,601.1500244140625,695305,Prudent Corporate Advisory Services Limited
2022-05-31,595.0,618.75,572.2000122070312,585.0999755859375,585.0999755859375,495039,Prudent Corporate Advisory Services Limited
2022-06-01,589.9000244140625,598.2999877929688,550.25,576.9000244140625,576.9000244140625,165359,Prudent Corporate Advisory Services Limited
2022-06-02,583.0,596.9000244140625,571.0,581.9500122070312,581.9500122070312,590323,Prudent Corporate Advisory Services Limited
2022-06-03,590.0,602.0,560.5,565.0,565.0,528647,Prudent Corporate Advisory Services Limited
2022-06-06,567.0,567.0,540.0999755859375,544.4000244140625,544.4000244140625,63905,Prudent Corporate Advisory Services Limited
2022-06-07,542.0999755859375,555.75,535.9500122070312,543.7000122070312,543.7000122070312,86391,Prudent Corporate Advisory Services Limited
2022-06-08,541.0,586.9500122070312,538.5499877929688,580.2999877929688,580.2999877929688,253045,Prudent Corporate Advisory Services Limited
2022-06-09,584.5,602.25,571.0499877929688,596.2000122070312,596.2000122070312,254224,Prudent Corporate Advisory Services Limited
2022-06-10,595.0,598.0,579.9000244140625,584.5,584.5,80145,Prudent Corporate Advisory Services Limited
2022-06-13,582.5,582.5,552.0,560.25,560.25,60196,Prudent Corporate Advisory Services Limited
2022-06-14,555.0,595.2999877929688,553.3499755859375,557.25,557.25,93350,Prudent Corporate Advisory Services Limited
2022-06-15,568.4000244140625,582.9500122070312,546.2000122070312,551.9500122070312,551.9500122070312,116644,Prudent Corporate Advisory Services Limited
2022-06-16,556.0499877929688,565.0999755859375,520.0999755859375,526.7999877929688,526.7999877929688,38770,Prudent Corporate Advisory Services Limited
2022-06-17,526.7999877929688,535.0,460.9500122070313,499.8999938964844,499.8999938964844,266465,Prudent Corporate Advisory Services Limited
2022-06-20,501.0,507.6000061035156,477.3500061035156,487.8999938964844,487.8999938964844,36300,Prudent Corporate Advisory Services Limited
2022-06-21,489.0,521.6500244140625,486.1499938964844,496.8999938964844,496.8999938964844,60426,Prudent Corporate Advisory Services Limited
2022-06-22,492.5,500.1000061035156,481.6000061035156,485.1000061035156,485.1000061035156,57252,Prudent Corporate Advisory Services Limited
2022-06-23,490.0,496.3999938964844,485.1499938964844,490.8500061035156,490.8500061035156,21856,Prudent Corporate Advisory Services Limited
2022-06-24,487.5499877929688,499.8999938964844,485.0,489.2000122070313,489.2000122070313,12134,Prudent Corporate Advisory Services Limited
2022-06-27,495.0,509.5,493.0,506.2000122070313,506.2000122070313,42652,Prudent Corporate Advisory Services Limited
2022-06-28,501.1000061035156,512.9500122070312,497.0499877929688,508.9500122070313,508.9500122070313,40751,Prudent Corporate Advisory Services Limited
2022-06-29,502.0499877929688,513.6500244140625,501.0,506.3999938964844,506.3999938964844,28017,Prudent Corporate Advisory Services Limited
2022-06-30,502.2999877929688,509.5,492.2000122070313,497.7999877929688,497.7999877929688,10201,Prudent Corporate Advisory Services Limited
2022-07-01,492.1499938964844,497.2000122070313,485.0,488.2000122070313,488.2000122070313,8997,Prudent Corporate Advisory Services Limited
2022-07-04,480.2000122070313,505.8999938964844,477.5499877929688,499.1000061035156,499.1000061035156,11340,Prudent Corporate Advisory Services Limited
2022-07-05,500.0,503.75,480.1000061035156,489.2000122070313,489.2000122070313,13301,Prudent Corporate Advisory Services Limited
2022-07-06,481.5,501.8500061035156,481.5,499.1499938964844,499.1499938964844,33102,Prudent Corporate Advisory Services Limited
