Date,Open,High,Low,Close,Adj Close,Volume,Company Name
2014-05-09,160.0,168.0,152.1999969482422,157.8000030517578,151.71458435058594,3454392,Wonderla Holidays Limited
2014-05-12,159.8000030517578,163.64999389648438,157.5,160.10000610351562,153.9259033203125,365222,Wonderla Holidays Limited
2014-05-13,160.0500030517578,168.10000610351562,159.0500030517578,168.10000610351562,161.6173553466797,498789,Wonderla Holidays Limited
2014-05-14,174.89999389648438,176.5,169.0,176.5,169.6934356689453,262239,Wonderla Holidays Limited
2014-05-15,182.0,185.3000030517578,176.0,178.25,171.37594604492188,769972,Wonderla Holidays Limited
2014-05-16,184.6999969482422,186.8999938964844,169.35000610351562,170.6999969482422,164.1171417236328,368799,Wonderla Holidays Limited
2014-05-19,171.0,174.5,163.0,166.8000030517578,160.3675079345703,575598,Wonderla Holidays Limited
2014-05-20,165.14999389648438,175.10000610351562,163.0,175.10000610351562,168.34742736816406,396483,Wonderla Holidays Limited
2014-05-21,183.6999969482422,183.8500061035156,175.35000610351562,183.8500061035156,176.760009765625,239704,Wonderla Holidays Limited
2014-05-22,188.3999938964844,193.0,188.0,192.8500061035156,185.4129180908203,302617,Wonderla Holidays Limited
2014-05-23,206.1999969482422,207.9499969482422,191.0,193.6999969482422,186.2301177978516,1066598,Wonderla Holidays Limited
2014-05-26,195.0,206.8999938964844,184.0,193.8500061035156,186.3743438720703,902637,Wonderla Holidays Limited
2014-05-27,194.6000061035156,223.0,187.0,215.6999969482422,207.38169860839844,2749751,Wonderla Holidays Limited
2014-05-28,216.8000030517578,226.0,208.6499938964844,209.8999938964844,201.80538940429688,1248363,Wonderla Holidays Limited
2014-05-29,214.5,221.3999938964844,205.6499938964844,212.6000061035156,204.4012756347656,969082,Wonderla Holidays Limited
2014-05-30,214.8000030517578,216.75,202.5,203.9499969482422,196.08482360839844,471776,Wonderla Holidays Limited
2014-06-02,204.8500061035156,204.8999938964844,196.0,201.0500030517578,193.2967071533203,464566,Wonderla Holidays Limited
2014-06-03,203.4499969482422,209.6499938964844,200.1499938964844,203.9499969482422,196.08482360839844,309009,Wonderla Holidays Limited
2014-06-04,204.9499969482422,206.6999969482422,198.1499938964844,200.0500030517578,192.33526611328125,226793,Wonderla Holidays Limited
2014-06-05,201.0,202.9499969482422,198.5,200.3000030517578,192.5756225585937,296875,Wonderla Holidays Limited
2014-06-06,203.6499938964844,219.0,200.0,212.8500061035156,204.6416473388672,1463552,Wonderla Holidays Limited
